date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03T00:00:00.000Z,111.94,112.5,101.69,104.87,4783900,0.8430169503,0.8472342943,0.7658244924,0.7897729817,535797335,0.0,1.0
2000-01-04T00:00:00.000Z,102.5,110.62,101.19,108.25,4574800,0.7719245793,0.8330760679,0.7620590066,0.8152276654,512378112,0.0,1.0
2000-01-05T00:00:00.000Z,104.0,110.56,103.0,103.75,6949300,0.7832210365,0.8326242096,0.775690065,0.7813382937,778322378,0.0,1.0
2000-01-06T00:00:00.000Z,95.0,107.0,95.0,106.12,6856900,0.715442293,0.8058139511,0.715442293,0.7991866961,767973567,0.0,1.0
2000-01-07T00:00:00.000Z,99.5,101.0,95.5,96.5,4113700,0.7493316648,0.760628122,0.7192077787,0.7267387502,460734860,0.0,1.0
2000-01-10T00:00:00.000Z,97.75,102.25,94.75,102.0,4509500,0.7361524646,0.7700418364,0.7135595501,0.7681590935,505064505,0.0,1.0
2000-01-11T00:00:00.000Z,92.75,99.37,90.5,95.94,3942400,0.6984976071,0.7483526385,0.6815529212,0.7225214062,441549241,0.0,1.0
2000-01-12T00:00:00.000Z,87.19,95.5,86.5,95.0,8714900,0.6566254055,0.7192077787,0.6514290352,0.715442293,976069776,0.0,1.0
2000-01-13T00:00:00.000Z,96.75,98.75,92.5,94.48,9220400,0.7286214931,0.7436834361,0.6966148642,0.7115261878,1032685832,0.0,1.0
2000-01-14T00:00:00.000Z,100.44,102.25,99.37,100.0,3485500,0.756410778,0.7700418364,0.7483526385,0.7530971505,390376390,0.0,1.0
2000-01-18T00:00:00.000Z,103.94,106.0,100.44,101.0,4099800,0.7827691782,0.7982829795,0.756410778,0.760628122,459178059,0.0,1.0
2000-01-19T00:00:00.000Z,106.56,108.75,103.37,105.62,5336100,0.8025003236,0.8189931512,0.7784765245,0.7954212104,597643797,0.0,1.0
2000-01-20T00:00:00.000Z,113.5,121.5,113.5,115.5,16349400,0.8547652658,0.9150130379,0.8547652658,0.8698272088,1831134631,0.0,1.0
2000-01-21T00:00:00.000Z,111.31,114.25,110.19,114.25,4427900,0.8382724382,0.8604134945,0.8298377502,0.8604134945,495925295,0.0,1.0
2000-01-24T00:00:00.000Z,106.25,112.75,105.12,108.44,3936400,0.8001657224,0.8491170372,0.7916557246,0.81665855,440877240,0.0,1.0
2000-01-25T00:00:00.000Z,112.25,113.12,102.37,105.0,4438800,0.8453515515,0.8519034967,0.770945553,0.790752008,497146097,0.0,1.0
2000-01-26T00:00:00.000Z,110.19,114.19,109.75,110.0,3278200,0.8298377502,0.8599616362,0.8265241227,0.8284068656,367158767,0.0,1.0
2000-01-27T00:00:00.000Z,110.0,113.0,107.0,108.81,3037000,0.8284068656,0.8509997801,0.8058139511,0.8194450095,340144340,0.0,1.0
2000-01-28T00:00:00.000Z,101.62,110.87,100.62,108.19,3779900,0.7652973244,0.8349588108,0.7577663528,0.8147758071,423349223,0.0,1.0
2000-01-31T00:00:00.000Z,103.75,103.87,94.5,101.0,6265000,0.7813382937,0.7822420102,0.7116768072,0.760628122,701680701,0.0,1.0
2000-02-01T00:00:00.000Z,100.25,105.0,100.0,104.0,2839600,0.7549798934,0.790752008,0.7530971505,0.7832210365,318035518,0.0,1.0
2000-02-02T00:00:00.000Z,98.81,102.12,97.0,100.75,4144600,0.7441352944,0.7690628101,0.730504236,0.7587453791,464195664,0.0,1.0
2000-02-03T00:00:00.000Z,103.31,104.25,100.25,100.31,4242800,0.7780246662,0.7851037794,0.7549798934,0.7554317517,475194075,0.0,1.0
2000-02-04T00:00:00.000Z,108.0,110.0,103.62,103.94,3797500,0.8133449226,0.8284068656,0.7803592674,0.7827691782,425320425,0.0,1.0
2000-02-07T00:00:00.000Z,114.06,114.25,105.94,108.0,3938100,0.8589826099,0.8604134945,0.7978311213,0.8133449226,441067641,0.0,1.0
2000-02-08T00:00:00.000Z,114.87,116.12,111.25,114.0,3648600,0.8650826968,0.8744964112,0.8378205799,0.8585307516,408643608,0.0,1.0
2000-02-09T00:00:00.000Z,112.62,117.12,112.44,114.12,2672900,0.8481380109,0.8820273827,0.846782436,0.8594344682,299365099,0.0,1.0
2000-02-10T00:00:00.000Z,113.5,113.87,110.0,112.87,2705200,0.8547652658,0.8575517253,0.8284068656,0.8500207538,302982702,0.0,1.0
